Номер тега,Количество изображений с тегом,Человекочитаемое лаконичное представление,Субкатегория,Имя тэга на danbooru,Описание тега с danbooru,"Категория, присвоенная danbooru",Комментарии
921,44472,,,skin_tight,Clothing that is extremely form-fitting.,General,
922,44446,,,angel_wings,"Typically, large white [[feathered wings]].",General,
923,44320,,,!,The exclamation point is used to depict comical shock or surprise.,General,
924,44173,,,white_wings,Any type of [[wings]] that are colored [[white]].,General,
925,44132,,,side-tie_panties,[[Panties]] that tie up into [[bow]]s at either side with strings. Known as himopan in Japan.,General,
926,45066,,,frilled_shirt_collar,"A frilly collar as would be seen on a [[collared shirt]], [[blouse]], or [[dress]]. A frilly [[collar]] that is separate from any other article of clothing, wrapping around the neck, is instead a [[frilled collar]].",General,
927,43973,,,black-framed_eyewear,[[Glasses]] that have [[black]]-colored frames.,General,
928,43929,,,black_sleeves,"A pair of sleeves that are colored [[black]]. The sleeves have to either be [[detached sleeves|detached]], or differently colored from the rest of the garment the character is wearing (such as [[raglan sleeves]]).",General,
929,43734,,,mole_on_breast,A [[mole]] on a [[breasts|breast]].,General,
930,43617,,,walking,"When a character is visibly walking. In non-[[animated]] pictures, this is usually indicated by one foot being placed in front of the other.",General,
931,43407,,,finger_to_mouth,"Used when a character has a finger (usually their own) near their mouths, but not inside. Used in a wide variety of poses, from innocent to cute to seductive. It can also indicate that the character is pondering.",General,
932,43302,,,arm_behind_back,"An arm held behind the back, either by the subject or another character, in sexual and non-sexual situations. If the arm is bound in some way see [[bondage]].",General,
933,43405,,,strap_slip,"Images which depict a strapped article of clothing (as in [[tank top]], [[bra]], [[camisole]], [[bikini]]) where one or both of the straps is pulled down off the shoulder(s).",General,
934,43121,,,handgun,"A short-barrelled [[gun|firearm]] designed to be used with one hand or [[two-handed|two hands]] and for shooting at short-ranged targets, while be more concealable to be [[holstered]] than a [[rifle]] or a [[submachine gun]]. Its [[ammunition]] feeding mechanism may vary by design, such as muzzle-loading earlier handguns, [[break action]], by using [[clip (weapon)|clips]] or more commonly [[magazine (weapon)|magazines]].",General,
935,43247,,,white_hairband,A [[hairband]] that is [[white]] in color.,General,
936,47314,,,licking,"The use of a [[tongue]] on an external object, person, or body part.",General,
937,43094,,,lens_flare,"The scattering of light that reaches a camera's lens through some unwanted formation mechanisms, such as reflections and deflections, especially if the light is from a very bright source, such as the sun.",General,
938,43089,,,asymmetrical_legwear,"Legwear that, by design, lacks symmetry.",General,
939,43015,,,clothed_sex,"[[Sex]] where at least one participant is mostly wearing clothes. This can be any [[tag group:sex acts|sex act]], not just [[sex|intercourse]].",General,
940,42919,,,eyebrows,"Most characters on danbooru have eyebrows. Use a better tag for unusual eyebrows instead, such as:",General,
941,42945,,,crossdressing,"Wearing clothing traditionally reserved for the opposite sex (e.g. men wearing [[dress]]es, women wearing [[tuxedo]]s, etc.)",General,
942,42962,,,turtleneck_sweater,A [[sweater]] which has a [[turtleneck]].,General,
943,42994,,,starry_sky,"An image with a focus on a [[sky]] filled with [[star (sky)|]]s. If it isn't a focal point, just tag as [[star (sky)]].",General,
944,42861,,,double-parted_bangs,"Bangs that are distinctly parted or swept in two different spots, usually on the left and right side of the hair.",General,
945,42790,,,lace,"Clothing made entirely of lace. Lace is a delicate fabric, usually colored white, containing intricate web-like patterns.",General,
946,42727,,,wading,[[Standing]] or [[walking]] in [[water]] less than waist deep.,General,
947,42589,,,blue_pants,Any style of [[pants]] that are colored [[blue]].,General,
948,42221,,,seiza,"Formal Japanese [[sitting]] position. Formed by [[kneeling]] on the floor and then resting the buttocks on the heels, keeping the [[legs folded]] under the thighs and the top side of the feet flat on the ground.",General,
949,42517,,,single_horn,"A character with a single horn sticking out of their head. If more than one horn is present, use [[horns]].",General,
950,42383,,,frilled_bikini,A [[bikini]] with [[frills]].,General,
951,42219,,,heavy_breathing,Usually indicates panting heavily during or after a strenuous activity.,General,
952,42214,,,after_sex,"After the act of [[sex|intercourse]] is finished. Telltale signs include [[used tissue|used tissues]] and [[used condom|used condoms]], [[cum]] [[cumdrip|dripping]] out of any particular orifice, and heavy [[blush|blushing]].",General,
953,42211,,,alternate_breast_size,"Deprecated, use the specific alternate size tag:",General,
954,42130,,,long_skirt,A [[skirt]] that extends past the knee; its hemline rests no higher than 3/4 up the lower leg.,General,
955,41998,,,pouch,"Broad term for various small containers usually made from leather, textiles, or plastic. Objects called pouches include:",General,
956,41852,,,purple_skirt,A [[skirt]] or [[miniskirt]] that is colored [[purple]]. This can range from deep indigo to bright violet.,General,
957,42007,,,handjob,"A [[tag group:sex acts|sex act]] in which a [[penis]], [[tentacles|tentacle]] or [[tail]] is massaged by hand; normally to the point of [[ejaculation]].",General,
958,41839,,,fish,Any of various mostly cold-blooded aquatic vertebrates usually having scales and breathing through gills.,General,
959,41821,,,tray,A small platform used for placing and carrying items - such as [[food]] and [[dishes]].,General,
960,41784,,,kemonomimi_mode,"When characters who don't normally have any animal-like features (such as ears or a tail) are depicted with animal ears, tail, and/or a [i]little[/i] fur.",General,
961,41717,,,sailor_dress,"Dresses that have most elements of sailor uniforms, such as a [[sailor collar]] or [[neckerchief]]. Sailor dresses may be depicted as a [[school uniform]] or casual wear.",General,
962,41697,,,green_shirt,Any style of [[shirt]] that's colored [[green]].,General,
963,41676,,,@_@,"Swirling eyes which represent embarrassment, confusion, dizziness, being hypnotized, being overwhelmed, or being knocked unconscious. More rare, a character who is [[drunk]] or [[angry]] can be shown with these eyes.",General,
964,41613,,,between_legs,"An object that is situated or held between a person's legs. Alternatively, [[hand_between_legs|hands]] (or [[tail_between_legs|tails]], arms etc.) placed between the legs, usually in a coy manner.",General,
965,41516,,,white_shorts,Any style of [[shorts]] that are colored [[white]].,General,
966,41345,,,alcohol,"Any [[drink]] that contains ethanol, a psychoactive drug that has a depressant effect. Drinking too much of it can cause [[drunk|drunkenness]]. Possible health effects can include the increased risk for cancer, alcoholism, liver cirrhosis, depression, ataxia, and many more.",General,
967,41500,,,hakama_skirt,A [[hakama]] in the shape of a [[skirt]].,General,
968,41447,,,unworn_headwear,"Any piece of headwear (a [[hat]], a [[baseball cap]], a [[helmet]], a [[maid headdress]], etc.) is present in the image, along with someone who could be wearing it, but nobody is wearing the object.",General,
969,41311,,,spoken_ellipsis,When a [[speech bubble]] contains only an ellipsis ([[...]]). Meant to show that a character is at a loss for words.,General,
970,41310,,,no_headwear,"Someone who typically wears some form of headwear (a [[hat]], a [[bandana]], a [[helmet]], etc.) is not wearing it.",General,
971,42764,,,crying_with_eyes_open,When [[tears]] are being shed from an open eye or eyes.,General,
972,40987,,,masturbation,"Masturbation is the act of stimulating one's own erogenous zones (most notably the [[pussy|vulva]] —including the [[clitoris]]/[[labia]]/vaginal-opening— in females, the [[penis]] in males, and the [[nipples]] of both genders) with the aim of sexual self-gratification, whether alone or in the company of others. Masturbation need not conclude in [[orgasm]].",General,
973,41039,,,thought_bubble,A bubble followed by a series of smaller bubbles that show what a character is thinking or dreaming about.,General,
974,40970,,,forest,A temperate environment that is covered with [[tree|trees]] and various other [[foliage]].,General,
975,40926,,,arm_behind_head,"A character's single hand or arm is behind the own head. If both arms are behind the head, use [[arms behind head]] instead.",General,
976,40591,,,swim_ring,"A ring-shaped device used as a flotation aid. Two types may be distinguished, based on their form, intended role and context in which they appear:",General,
977,40906,,,headset,"A set of [[headphones]] with an attached [[microphone]]. The headphones are usually small and sometimes cover only one ear, while the microphone is usually a small flexible tube that sits in front of the mouth.",General,
978,40687,,,star_hair_ornament,A [[hair ornament]] or [[hairpin]] shaped like a [[star (symbol)|]].,General,
979,40578,,,white_kimono,A [[kimono]] that is colored [[white]]. This includes other kimono-styled tops such as [[yukata]]s and [[furisode]]s.,General,
980,40571,,,blue_halo,A [[halo]] that is colored blue.,General,
981,40555,,,fake_tail,"When an object is used to simulate having a [[tail]]. These may be glued directly on the skin, sewn onto clothes or attached to [[tag group:sex objects|sex objects]].",General,
982,40501,,,belt_buckle,A decorative buckle or clasp used to fasten a [[belt]].,General,
983,40455,,,hand_in_pocket,When a [b]single[/b] hand is inserted into a pocket.,General,
984,40542,,,pauldrons,"A form of [[shoulder armor]], usually made from metal. They often protect the armpit as well as the back and chest, either separately or as part of a large breastplate.",General,
985,40499,,,ribbed_sweater,"A [[sweater]] that has a ribbed pattern, creating the appearance of vertical stripes. The knitting style makes clothes very form fitting and is often used to enhance or show off the figure of [[curvy]] characters.",General,
986,40375,,,goggles_on_head,"[[Goggles]] worn on the top of the head, instead of on the eyes.",General,
987,40310,,,oni,A creature from Japanese folklore. Usually translated as demon or [[ogre]].,General,
988,40212,,,hand_on_another's_head,Resting a hand on top of another character's head.,General,
989,40299,,,bikini_top_only,"Wearing a bikini top without a bikini bottom. For example, wearing a bikini top with [[shorts]] or [[pants]], or while completely [[bottomless]].",General,
990,40138,,,colored_eyelashes,"[[Eyelashes]] that have an unnatural color, anything other than the usual black or brown. Consider adding [[eyelashes]] if the eyelashes are prominent.",General,
991,40164,,,long_fingernails,[[Fingernails]] that extend up to 1cm past one's fingertips.,General,
992,40144,,,pendant,"Whereas a [[necklace]] is a chain of jewelry, a pendant is a piece of jewelry that is attached to a necklace, as to be the centerpiece.",General,
993,40109,,,short_ponytail,"A [[ponytail]] that is atypically short, often stopping above the wearer's neckline.",General,
994,40101,,,yellow_flower,"Any type of [[flower]], whether real or fictional, that is colored [[yellow]].",General,
995,40016,,,personification,"When objects or non-humanoid characters ([[animal]]s, [[creature]]s, [[non-humanoid robot]]s etc.) are transformed into humans or humanoids.",General,
996,40031,,,santa_hat,A floppy pointed red [[hat]] [[fur-trimmed headwear|trimmed in white fur]] with a white [[pom pom (clothes)|puff ball]] at the point.,General,
997,39984,,,genderswap_(mtf),A canonically male character who is drawn as female.,General,
998,39891,,,brown_skirt,A [[skirt]] or [[miniskirt]] that is colored [[brown]].,General,
999,39859,,,tokin_hat,"A small box-shaped Japanese hat, associated with [[tengu]].",General,
